payment_id,order_id,payment_method,amount
73,73,UPI,140652.5
74,74,UPI,16283.13
75,75,Cash on Delivery,41884.62
76,76,Cash on Delivery,7596.29
77,77,UPI,1682.48
78,78,Net Banking,6321.69
79,79,UPI,82889.8
80,80,UPI,55154.59
81,81,UPI,15699.88
82,82,UPI,441.87
83,83,UPI,140266.49
84,84,UPI,275839.0
85,85,UPI,2107.3
86,86,Wallet,59526.54
87,87,UPI,963.43
88,88,Debit Card,23044.35
89,89,Net Banking,44318.91
90,90,UPI,17033.73
91,91,Net Banking,326253.08
92,92,Net Banking,234148.33
93,93,UPI,1215.32
94,94,Cash on Delivery,80102.67
95,95,Credit Card,10178.4
96,96,Credit Card,26186.52
97,97,Wallet,30847.15
98,98,UPI,21643.15
99,99,Net Banking,16573.83
100,100,UPI,2298.12
101,101,UPI,191888.04
102,102,Debit Card,15495.95
103,103,UPI,671.45
104,104,Debit Card,3794.97
105,105,UPI,54962.81
106,106,UPI,18448.93
107,107,Credit Card,5502.14
108,108,Cash on Delivery,83665.96
109,109,UPI,868.64
110,110,UPI,70275.14
111,111,Credit Card,12752.37
112,112,UPI,84933.84
113,113,Credit Card,29009.48
114,114,UPI,7394.66
115,115,Wallet,3820.49
116,116,UPI,33045.29
117,117,Net Banking,16845.76
118,118,Wallet,2947.78
119,119,UPI,13023.27
120,120,Credit Card,24556.01
121,121,Cash on Delivery,29771.89
122,122,Wallet,14910.04
123,123,Credit Card,12847.99
124,124,Credit Card,70943.69
125,125,Debit Card,39910.88
126,126,Debit Card,85478.52
127,127,Wallet,6432.25
128,128,UPI,15184.41
129,129,Wallet,6069.76
130,130,Credit Card,12773.18
131,131,Credit Card,45538.35
132,132,Net Banking,31725.13
133,133,Credit Card,126420.34
134,134,Debit Card,4451.11
135,135,UPI,60264.12
136,136,Credit Card,52952.04
137,137,UPI,2992.88
138,138,Net Banking,2667.82
139,139,UPI,29018.29
140,140,Credit Card,20137.81
141,141,Debit Card,3431.55
142,142,Credit Card,15592.49
143,143,Credit Card,8575.73
144,144,Debit Card,17799.79
145,145,UPI,70025.01
146,146,UPI,9410.38
147,147,Debit Card,43867.94
148,148,UPI,14998.13
149,149,Debit Card,55522.92
150,150,Cash on Delivery,23336.6
151,151,Credit Card,1149.31
152,152,Net Banking,981.24
153,153,Credit Card,62887.22
154,154,Wallet,5240.86
155,155,UPI,19495.83
156,156,Net Banking,7413.93
157,157,Net Banking,97517.56
158,158,Credit Card,30319.0
159,159,UPI,124483.92
160,160,UPI,142777.68
161,161,Cash on Delivery,49226.75
162,162,Credit Card,10575.38
163,163,Credit Card,161420.65
164,164,Net Banking,7854.33
165,165,UPI,18521.32
166,166,Net Banking,2093.6
167,167,Debit Card,69015.75
168,168,UPI,63821.83
169,169,Debit Card,2397.14
170,170,Credit Card,3489.36
171,171,Credit Card,408.86
172,172,UPI,83006.23
173,173,Net Banking,645.98
174,174,Debit Card,4624.64
175,175,Debit Card,7892.19
176,176,Cash on Delivery,7892.07
177,177,Net Banking,16568.19
178,178,Net Banking,8933.4
179,179,UPI,6959.57
180,180,UPI,18283.46
181,181,UPI,5887.92
182,182,UPI,85106.69
183,183,UPI,8666.34
184,184,Net Banking,8881.66
185,185,UPI,50271.99
186,186,Cash on Delivery,3547.28
187,187,Wallet,7671.31
188,188,UPI,1065.1
189,189,UPI,13935.74
190,190,Credit Card,129780.48
191,191,UPI,90489.42
192,192,Wallet,63012.69
193,193,UPI,25782.58
194,194,Wallet,2151.83
195,195,UPI,39802.94
196,196,UPI,4666.4
197,197,UPI,13353.03
198,198,UPI,184877.17
199,199,Credit Card,1410.87
200,200,UPI,6431.03
201,201,Net Banking,65902.82
202,202,Debit Card,19070.45
203,203,Credit Card,61078.3
204,204,Net Banking,3033.92
205,205,UPI,93902.38
206,206,Wallet,7893.34
207,207,Net Banking,14542.35
208,208,Credit Card,44318.6
209,209,Debit Card,5280.91
210,210,Debit Card,7436.66
211,211,UPI,13955.11
212,212,UPI,1895.42
213,213,UPI,31515.2
214,214,UPI,246980.56
215,215,Debit Card,5497.05
216,216,Credit Card,6349.53
217,217,Wallet,1287.64
218,218,UPI,12460.09
219,219,Credit Card,70215.92
220,220,UPI,90749.97
221,221,Credit Card,5481.21
222,222,Debit Card,5362.5
223,223,Credit Card,26140.01
224,224,Credit Card,72705.06
225,225,Debit Card,128639.41
226,226,Credit Card,19368.2
227,227,UPI,733.35
228,228,Wallet,34809.86
229,229,Wallet,10276.75
230,230,Net Banking,11720.3
231,231,UPI,61953.24
232,232,UPI,12797.94
233,233,Net Banking,39056.86
234,234,Net Banking,1813.57
235,235,Credit Card,60922.9
236,236,UPI,2793.31
237,237,UPI,8695.71
238,238,UPI,56440.24
239,239,Net Banking,72804.39
240,240,Credit Card,3227.19
241,241,Cash on Delivery,5428.79
242,242,Debit Card,1393.08
243,243,Debit Card,4944.18
244,244,UPI,4533.88
245,245,Debit Card,40403.61
246,246,UPI,5105.31
247,247,UPI,308438.73
248,248,UPI,4189.26
249,249,Net Banking,40532.01
250,250,Debit Card,38191.97
251,251,Wallet,16086.49
252,252,Cash on Delivery,3936.62
253,253,UPI,9511.26
254,254,Debit Card,9475.03
255,255,Wallet,44386.98
256,256,UPI,71992.35
257,257,UPI,9651.47
258,258,Debit Card,16776.12
259,259,Cash on Delivery,637.23
260,260,Credit Card,7599.22
261,261,Debit Card,20066.65
262,262,UPI,88968.17
263,263,UPI,1201.59
264,264,UPI,44799.46
265,265,Credit Card,42513.19
266,266,UPI,16818.11
267,267,UPI,52118.21
268,268,Net Banking,61559.44
269,269,UPI,41894.3
270,270,UPI,7882.67
271,271,Debit Card,13397.73
272,272,UPI,90178.48
273,273,UPI,1537.72
274,274,UPI,11743.25
275,275,Credit Card,421.79
276,276,Debit Card,19561.92
277,277,UPI,6448.27
278,278,Wallet,10442.68
279,279,Credit Card,1941.38
280,280,UPI,12852.68
281,281,UPI,4756.48
282,282,Credit Card,49377.24
283,283,Debit Card,8643.38
284,284,UPI,14578.01
285,285,Debit Card,126660.13
286,286,UPI,6167.71
287,287,Credit Card,66182.38
288,288,Net Banking,1681.86
289,289,Credit Card,236.31
290,290,UPI,10658.96
291,291,UPI,5224.63
292,292,UPI,307133.12
293,293,UPI,124224.44
294,294,UPI,586.42
295,295,Wallet,4126.28
296,296,UPI,10747.11
297,297,UPI,93786.39
298,298,Wallet,89060.74
299,299,Debit Card,219469.89
300,300,Debit Card,14519.31
301,301,Cash on Delivery,2253.92
302,302,Credit Card,26701.71
303,303,Credit Card,2437.71
304,304,UPI,4772.4
305,305,UPI,147179.9
306,306,Cash on Delivery,52033.91
307,307,UPI,25096.18
308,308,Wallet,1104.21
309,309,Credit Card,7068.16
310,310,Credit Card,44722.46
311,311,UPI,73523.38
312,312,UPI,69388.53
313,313,Debit Card,127835.94
314,314,Wallet,2285.19
315,315,UPI,16090.78
316,316,Credit Card,1109.24
317,317,Credit Card,66359.52
318,318,Net Banking,12995.06
319,319,Net Banking,17106.31
320,320,Credit Card,4083.24
321,321,Debit Card,44695.41
322,322,UPI,7894.21
323,323,UPI,28985.39
324,324,Debit Card,147201.77
325,325,UPI,5787.69
326,326,Wallet,35331.56
327,327,UPI,65411.87
328,328,Credit Card,3571.34
329,329,Net Banking,41550.44
330,330,Credit Card,70378.86
331,331,Credit Card,9878.24
332,332,Credit Card,7378.89
333,333,UPI,13868.49
334,334,UPI,21167.24
335,335,Credit Card,11693.84
336,336,UPI,16225.71
337,337,Credit Card,11344.22
338,338,Credit Card,293114.46
339,339,Net Banking,5088.03
340,340,Cash on Delivery,3306.53
341,341,Net Banking,61172.0
342,342,UPI,43170.2
343,343,Debit Card,20553.6
344,344,Credit Card,1166.84
345,345,UPI,45907.15
346,346,Debit Card,62875.99
347,347,UPI,899.22
348,348,UPI,21613.06
349,349,Cash on Delivery,16083.74
350,350,UPI,65457.45
351,351,Debit Card,14988.55
352,352,Wallet,8365.28
353,353,Net Banking,184872.0
354,354,Credit Card,6725.61
355,355,Net Banking,5685.27
356,356,Debit Card,9651.75
357,357,UPI,28005.02
358,358,Credit Card,12998.42
359,359,Credit Card,58444.53
360,360,Credit Card,29867.82
361,361,Credit Card,42480.01
362,362,Credit Card,10148.4
363,363,Net Banking,4348.67
364,364,Wallet,47804.98
365,365,Cash on Delivery,25163.25
366,366,Wallet,2694.53
367,367,UPI,40398.09
368,368,Debit Card,2522.55
369,369,UPI,1079.27
370,370,UPI,50983.68
371,371,Debit Card,1038.06
372,372,UPI,15809.95
373,373,UPI,3719.35
374,374,UPI,1199.43
375,375,Wallet,17317.36
376,376,Credit Card,2208.24
377,377,UPI,5175.97
378,378,Wallet,74809.02
379,379,UPI,8145.93
380,380,Wallet,1206.24
381,381,Debit Card,3391.38
382,382,UPI,29490.54
383,383,Credit Card,5737.6
384,384,Credit Card,1518.15
385,385,UPI,53457.27
386,386,UPI,9666.39
387,387,UPI,6593.82
388,388,UPI,15614.92
389,389,Cash on Delivery,93988.39
390,390,UPI,18195.28
391,391,Credit Card,46067.65
392,392,UPI,4764.52
393,393,Net Banking,12317.09
394,394,Wallet,63907.59
395,395,UPI,6059.29
396,396,UPI,2551.53
397,397,Debit Card,48209.44
398,398,Net Banking,138895.95
399,399,UPI,5041.63
400,400,Credit Card,141089.64
401,401,Net Banking,49118.1
402,402,UPI,4737.87
403,403,Credit Card,2115.51
404,404,UPI,9249.65
405,405,Cash on Delivery,6865.52
406,406,UPI,5266.04
407,407,UPI,57928.97
408,408,Net Banking,60267.9
409,409,UPI,21203.19
410,410,Wallet,25771.04
411,411,Cash on Delivery,68457.42
412,412,UPI,41320.62
413,413,UPI,19135.15
414,414,Debit Card,6519.44
415,415,UPI,37845.93
416,416,Debit Card,4069.62
417,417,Net Banking,37470.02
418,418,Credit Card,9365.92
419,419,Wallet,20767.67
420,420,Debit Card,5030.12
421,421,Net Banking,16077.33
422,422,Debit Card,5896.4
423,423,Credit Card,1627.3
424,424,Debit Card,5384.9
425,425,UPI,21304.97
426,426,UPI,27354.53
427,427,UPI,11779.14
428,428,UPI,4657.05
429,429,Debit Card,24244.1
430,430,Wallet,156974.49
431,431,Credit Card,1563.49
432,432,Wallet,37743.89
433,433,Cash on Delivery,6227.88
434,434,Credit Card,20744.31
435,435,Credit Card,5736.34
436,436,Debit Card,18159.33
437,437,Debit Card,4598.13
438,438,UPI,5624.74
439,439,Wallet,44314.47
440,440,Debit Card,20924.34
441,441,Credit Card,3002.92
442,442,UPI,9408.88
443,443,Debit Card,1732.95
444,444,Credit Card,4788.86
445,445,Debit Card,146137.0
446,446,Credit Card,3146.97
447,447,Credit Card,6571.63
448,448,Debit Card,6731.6
449,449,UPI,282530.3
450,450,Credit Card,5208.9
451,451,UPI,10549.2
452,452,Net Banking,4218.05
453,453,UPI,990.0
454,454,UPI,3749.68
455,455,Debit Card,4579.68
456,456,UPI,6408.32
457,457,Credit Card,77357.5
458,458,UPI,50772.6
459,459,Wallet,3306.78
460,460,UPI,1334.67
461,461,Cash on Delivery,682.32
462,462,Credit Card,11198.04
463,463,Net Banking,6127.11
464,464,Credit Card,133747.17
465,465,Debit Card,153945.72
466,466,UPI,5378.54
467,467,UPI,147135.15
468,468,UPI,8838.08
469,469,Credit Card,81909.04
470,470,Debit Card,2453.41
471,471,Cash on Delivery,89888.31
472,472,Credit Card,5261.12
473,473,UPI,5032.97
474,474,Net Banking,143292.58
475,475,UPI,22534.62
476,476,Net Banking,1990.7
477,477,Debit Card,9680.19
478,478,Debit Card,7322.12
479,479,UPI,15982.85
480,480,Credit Card,16415.94
481,481,UPI,40842.16
482,482,UPI,1127.23
483,483,UPI,711.56
484,484,UPI,373.58
485,485,Cash on Delivery,52111.59
486,486,UPI,12645.68
487,487,UPI,697.39
488,488,UPI,36106.86
489,489,Cash on Delivery,116192.89
490,490,Credit Card,170767.41
491,491,Wallet,1143.48
492,492,Cash on Delivery,47680.46
493,493,Debit Card,2676.98
494,494,UPI,28156.44
495,495,Credit Card,12829.2
496,496,Credit Card,41180.29
497,497,Wallet,128550.76
498,498,UPI,47513.64
499,499,Credit Card,33013.45
500,500,Cash on Delivery,3173.32
501,501,UPI,1152.36
502,502,Net Banking,28093.6
503,503,UPI,22497.99
504,504,Debit Card,1277.1
505,505,Cash on Delivery,20216.97
506,506,Credit Card,5665.27
507,507,Net Banking,1637.57
508,508,UPI,22738.14
509,509,UPI,576.36
510,510,UPI,8923.47
511,511,Net Banking,71533.08
512,512,Credit Card,21058.2
513,513,UPI,182236.26
514,514,Net Banking,1612.23
515,515,Net Banking,79934.45
516,516,Debit Card,26906.04
517,517,Wallet,8897.43
518,518,Cash on Delivery,643.97
519,519,UPI,165000.35
520,520,Credit Card,391.38
521,521,UPI,31675.05
522,522,Cash on Delivery,11465.96
523,523,Wallet,56113.17
524,524,Cash on Delivery,2116.8
525,525,Credit Card,8990.98
526,526,Credit Card,16050.18
527,527,Cash on Delivery,13274.93
528,528,UPI,37107.87
529,529,Debit Card,265064.25
530,530,Net Banking,25808.73
531,531,Credit Card,12368.19
532,532,Cash on Delivery,2983.13
533,533,UPI,1417.23
534,534,UPI,6662.64
535,535,Cash on Delivery,75245.02
536,536,Net Banking,36658.17
537,537,Cash on Delivery,17784.12
538,538,UPI,2480.53
539,539,Net Banking,16193.73
540,540,Net Banking,1735.64
541,541,UPI,1482.24
542,542,Cash on Delivery,22023.84
543,543,Debit Card,62108.15
544,544,UPI,160440.92
545,545,Wallet,1058.48
546,546,Cash on Delivery,42797.48
547,547,Credit Card,38614.48
548,548,Debit Card,82190.02
549,549,Credit Card,5007.7
550,550,Wallet,4813.57
551,551,UPI,30597.76
552,552,Credit Card,16682.25
553,553,Credit Card,2115.3
554,554,UPI,20447.14
555,555,UPI,9344.56
556,556,Cash on Delivery,120544.8
557,557,Credit Card,146353.75
558,558,Wallet,5847.53
559,559,UPI,8060.96
560,560,Credit Card,4387.64
561,561,Wallet,77862.87
562,562,UPI,84685.69
563,563,UPI,16312.06
564,564,UPI,91057.33
565,565,UPI,1114.61
566,566,Credit Card,18769.19
567,567,Cash on Delivery,19862.9
568,568,Wallet,3891.42
569,569,Net Banking,28633.02
570,570,UPI,12046.92
571,571,Debit Card,19671.29
572,572,UPI,39211.18
573,573,Debit Card,11859.18
574,574,Credit Card,4348.08
575,575,UPI,45911.86
576,576,Credit Card,49390.24
577,577,Credit Card,5555.27
578,578,UPI,13873.95
579,579,Credit Card,8413.15
580,580,Credit Card,16345.88
581,581,UPI,68562.57
582,582,Debit Card,19338.68
583,583,Cash on Delivery,12220.71
584,584,UPI,131818.1
585,585,UPI,5683.32
586,586,UPI,53106.75
587,587,UPI,71086.81
588,588,Debit Card,66476.26
589,589,UPI,8418.02
590,590,UPI,13697.92
591,591,UPI,2217.63
592,592,Debit Card,1589.47
593,593,UPI,8470.38
594,594,UPI,48076.41
595,595,Net Banking,31232.22
596,596,Wallet,76116.04
597,597,Net Banking,12439.25
598,598,Debit Card,5481.07
599,599,Debit Card,2784.96
600,600,UPI,5453.69
601,601,Credit Card,18304.52
602,602,UPI,9797.76
603,603,Net Banking,8501.42
604,604,Net Banking,10927.98
605,605,Cash on Delivery,22764.98
606,606,Credit Card,37759.48
607,607,Credit Card,12754.04
608,608,UPI,7737.84
609,609,UPI,475.22
610,610,UPI,16672.03
611,611,UPI,19467.43
612,612,UPI,28717.42
613,613,UPI,46115.33
614,614,Debit Card,296946.91
615,615,UPI,2118.4
616,616,Wallet,143384.55
617,617,Debit Card,6116.14
618,618,UPI,80251.85
619,619,UPI,17815.88
620,620,Wallet,41029.3
621,621,UPI,1849.47
622,622,Net Banking,10586.59
623,623,Debit Card,2924.3
624,624,Credit Card,660.23
625,625,Credit Card,8311.51
626,626,Net Banking,5821.87
627,627,Credit Card,4452.12
628,628,Debit Card,8400.7
629,629,UPI,49816.82
630,630,Credit Card,2211.3
631,631,UPI,11679.31
632,632,Net Banking,101936.12
633,633,UPI,2759.62
634,634,UPI,3261.49
635,635,Credit Card,5283.22
636,636,UPI,74998.3
637,637,Debit Card,40941.83
638,638,UPI,43370.93
639,639,Credit Card,35586.26
640,640,UPI,9508.4
641,641,Wallet,4889.88
642,642,UPI,23486.3
643,643,Cash on Delivery,84810.34
644,644,UPI,14177.16
645,645,UPI,2977.74
646,646,UPI,13881.77
647,647,Credit Card,19530.74
648,648,UPI,9373.26
649,649,Debit Card,85216.69
650,650,UPI,2183.34
651,651,Debit Card,39586.9
652,652,Wallet,24664.56
653,653,Credit Card,47840.11
654,654,Debit Card,74430.06
655,655,Net Banking,3717.43
656,656,Debit Card,15517.58
657,657,Credit Card,7694.94
658,658,UPI,20978.44
659,659,Credit Card,1415.46
660,660,UPI,199273.19
661,661,Debit Card,158505.92
662,662,Wallet,47166.25
663,663,UPI,4711.15
664,664,UPI,1411.25
665,665,UPI,62219.12
666,666,UPI,20036.99
667,667,UPI,21867.48
668,668,Net Banking,14154.74
669,669,Credit Card,58222.33
670,670,Net Banking,1162.25
671,671,Credit Card,46429.48
672,672,Debit Card,1062.75
673,673,UPI,14828.06
674,674,Credit Card,21146.01
675,675,Net Banking,2274.82
676,676,UPI,72307.77
677,677,Cash on Delivery,17244.25
678,678,Debit Card,8548.36
679,679,Credit Card,3914.74
680,680,Wallet,48737.4
681,681,Debit Card,51139.69
682,682,UPI,16293.35
683,683,Cash on Delivery,1076.18
684,684,Credit Card,152780.12
685,685,Net Banking,5144.85
686,686,UPI,56262.41
687,687,Credit Card,90887.62
688,688,UPI,85557.57
689,689,UPI,55411.62
690,690,Credit Card,5912.84
691,691,Debit Card,38257.77
692,692,UPI,3488.65
693,693,Net Banking,1396.84
694,694,Credit Card,32102.6
695,695,Cash on Delivery,63612.58
696,696,Debit Card,1883.05
697,697,UPI,5319.16
698,698,Net Banking,1229.22
699,699,UPI,104129.16
700,700,UPI,7095.78
701,701,Debit Card,2794.11
702,702,Credit Card,16583.75
703,703,Debit Card,17123.94
704,704,Cash on Delivery,19019.58
705,705,UPI,26281.87
706,706,Net Banking,67385.6
707,707,Credit Card,1648.07
708,708,UPI,27660.58
709,709,Credit Card,991.22
710,710,UPI,52847.17
711,711,UPI,1694.72
712,712,Credit Card,1056.92
713,713,Debit Card,2779.41
714,714,Credit Card,5218.31
715,715,Credit Card,6744.88
716,716,UPI,174655.01
717,717,Net Banking,8299.14
718,718,Debit Card,72211.26
719,719,Credit Card,6245.42
720,720,Credit Card,3044.35
721,721,UPI,15599.7
722,722,Credit Card,4911.47
723,723,UPI,2982.96
724,724,Credit Card,50910.77
725,725,Debit Card,9003.72
726,726,UPI,13736.82
727,727,UPI,2753.46
728,728,Credit Card,45550.26
729,729,UPI,99162.36
730,730,Net Banking,3197.71
731,731,Credit Card,16801.08
732,732,Credit Card,57296.59
733,733,Credit Card,4953.01
734,734,Debit Card,717.02
735,735,UPI,2390.3
736,736,Credit Card,46523.99
737,737,UPI,1081.72
738,738,Net Banking,5279.45
739,739,UPI,47000.57
740,740,UPI,15730.41
741,741,UPI,23186.84
742,742,UPI,42137.26
743,743,Net Banking,32699.38
744,744,UPI,2912.22
745,745,Credit Card,18130.01
746,746,Credit Card,85933.72
747,747,Credit Card,1670.03
748,748,Credit Card,3624.16
749,749,Net Banking,200581.37
750,750,Cash on Delivery,2875.64
751,751,Debit Card,5597.86
752,752,Credit Card,35684.98
753,753,Net Banking,8576.17
754,754,Debit Card,2456.09
755,755,UPI,167119.58
756,756,Wallet,778.76
757,757,UPI,22564.59
758,758,UPI,141154.91
759,759,Credit Card,38704.29
760,760,Credit Card,13336.68
761,761,UPI,22201.12
762,762,UPI,26813.91
763,763,UPI,35041.54
764,764,UPI,87870.18
765,765,Debit Card,20408.49
766,766,UPI,5232.36
767,767,Debit Card,155844.87
768,768,Credit Card,1140.36
769,769,UPI,7617.57
770,770,Net Banking,106242.29
771,771,Cash on Delivery,25052.07
772,772,UPI,17136.06
773,773,Credit Card,142494.63
774,774,Debit Card,9530.4
775,775,Debit Card,6988.65
776,776,Debit Card,88519.68
777,777,UPI,6309.81
778,778,Credit Card,6028.47
779,779,Credit Card,2741.5
780,780,UPI,67013.24
781,781,UPI,244411.2
782,782,Credit Card,15236.71
783,783,UPI,69406.25
784,784,UPI,94174.12
785,785,UPI,44165.03
786,786,Net Banking,4703.37
787,787,Credit Card,171603.6
788,788,UPI,10579.96
789,789,UPI,1505.63
790,790,Cash on Delivery,134511.91
791,791,Wallet,17909.04
792,792,Net Banking,65137.91
793,793,Net Banking,15901.41
794,794,UPI,22785.12
795,795,UPI,1670.5
796,796,UPI,2651.76
797,797,Credit Card,33745.64
798,798,UPI,8271.42
799,799,Debit Card,2101.84
800,800,Credit Card,10862.08
801,801,Net Banking,17836.81
802,802,Net Banking,40058.85
803,803,UPI,79226.16
804,804,Credit Card,114016.84
805,805,UPI,4067.24
806,806,Debit Card,59140.63
807,807,UPI,36187.97
808,808,Cash on Delivery,8270.29
809,809,UPI,60288.59
810,810,Credit Card,106711.37
811,811,Debit Card,46927.63
812,812,Debit Card,37502.73
813,813,Credit Card,42744.37
814,814,Wallet,1697.37
815,815,Debit Card,7361.18
816,816,UPI,71299.54
817,817,UPI,36924.88
818,818,Debit Card,1811.32
819,819,Debit Card,1283.23
820,820,UPI,92924.12
821,821,UPI,17307.2
822,822,UPI,131025.65
823,823,Credit Card,317515.76
824,824,Credit Card,1497.94
825,825,UPI,13621.65
826,826,Credit Card,65183.75
827,827,Debit Card,6750.15
828,828,UPI,5253.2
829,829,UPI,82459.35
830,830,Net Banking,70267.77
831,831,Debit Card,4734.74
832,832,UPI,66918.66
833,833,Credit Card,18672.7
834,834,Cash on Delivery,25252.32
835,835,Credit Card,29622.55
836,836,UPI,7010.47
837,837,Credit Card,74854.93
838,838,UPI,426.22
839,839,Net Banking,4348.91
840,840,Net Banking,17857.16
841,841,Credit Card,7191.91
842,842,Net Banking,48689.0
843,843,UPI,2895.3
844,844,Debit Card,40657.12
845,845,Net Banking,800.06
846,846,Wallet,53529.52
847,847,UPI,36214.36
848,848,UPI,38250.18
849,849,Debit Card,46200.88
850,850,Debit Card,154029.37
851,851,UPI,10823.92
852,852,Wallet,9662.16
853,853,UPI,76410.73
854,854,Net Banking,45829.2
855,855,Credit Card,14863.68
856,856,Credit Card,7409.25
857,857,Debit Card,124815.29
858,858,UPI,60428.47
859,859,Credit Card,1737.63
860,860,UPI,2707.63
861,861,UPI,1193.08
862,862,Credit Card,3360.48
863,863,UPI,163188.54
864,864,Credit Card,1070.88
865,865,Debit Card,44381.42
866,866,UPI,14806.26
867,867,Net Banking,19118.72
868,868,Debit Card,6560.68
869,869,UPI,386.07
870,870,Net Banking,16725.01
871,871,UPI,3271.44
872,872,Wallet,4153.78
873,873,UPI,4792.76
874,874,UPI,21229.88
875,875,UPI,550.96
876,876,Credit Card,5452.22
877,877,Net Banking,7986.06
878,878,Cash on Delivery,15226.01
879,879,Credit Card,75501.78
880,880,Debit Card,35955.37
881,881,Cash on Delivery,17838.66
882,882,Credit Card,17240.79
883,883,Credit Card,4712.47
884,884,UPI,16566.04
885,885,Wallet,2624.89
886,886,UPI,14229.62
887,887,Credit Card,15157.54
888,888,Debit Card,3208.23
889,889,UPI,92586.66
890,890,UPI,1129.2
891,891,Credit Card,15012.08
892,892,Debit Card,36586.17
893,893,Credit Card,92774.88
894,894,UPI,94154.25
895,895,UPI,1693.88
896,896,Debit Card,9278.8
897,897,UPI,10631.97
898,898,UPI,59192.17
899,899,Net Banking,7643.95
900,900,Credit Card,4134.9
901,901,Credit Card,260615.39
902,902,UPI,100104.68
903,903,Cash on Delivery,7352.06
904,904,Debit Card,7235.81
905,905,Debit Card,25022.6
906,906,UPI,9879.06
907,907,UPI,12739.57
908,908,Net Banking,2260.06
909,909,UPI,1069.46
910,910,Credit Card,6816.97
911,911,Debit Card,5246.83
912,912,Wallet,6583.58
913,913,UPI,229.54
914,914,UPI,105881.16
915,915,Credit Card,3570.23
916,916,UPI,2549.67
917,917,UPI,4381.24
918,918,Debit Card,43742.1
919,919,Wallet,56058.85
920,920,Cash on Delivery,5600.92
921,921,Net Banking,143008.52
922,922,Cash on Delivery,70023.36
923,923,UPI,75186.78
924,924,UPI,50395.69
925,925,Credit Card,69280.65
926,926,UPI,22742.63
927,927,UPI,16206.33
928,928,Net Banking,4386.95
929,929,Cash on Delivery,2553.78
930,930,Wallet,529.67
931,931,Credit Card,118706.1
932,932,UPI,19359.78
933,933,Credit Card,3695.52
934,934,Net Banking,72004.35
935,935,Credit Card,47647.3
936,936,UPI,1201.5
937,937,Debit Card,80592.55
938,938,Credit Card,24129.03
939,939,Debit Card,13526.26
940,940,Debit Card,43239.68
941,941,UPI,78939.5
942,942,UPI,14770.91
943,943,Debit Card,108760.81
944,944,Credit Card,2586.84
945,945,Net Banking,13183.48
946,946,UPI,60961.96
947,947,Cash on Delivery,11392.34
948,948,UPI,8228.97
949,949,Credit Card,4325.56
950,950,Cash on Delivery,9943.64
951,951,Debit Card,7027.04
952,952,UPI,5779.76
953,953,UPI,7327.95
954,954,Credit Card,1372.75
955,955,UPI,22507.91
956,956,UPI,29271.65
957,957,Debit Card,5220.92
958,958,Net Banking,4204.91
959,959,Credit Card,36985.12
960,960,Debit Card,41961.94
961,961,Net Banking,37907.06
962,962,UPI,5355.32
963,963,UPI,33819.43
964,964,Debit Card,2789.73
965,965,UPI,3676.71
966,966,Credit Card,18029.56
967,967,Debit Card,8843.82
968,968,UPI,123599.67
969,969,Wallet,4950.48
970,970,UPI,25448.13
971,971,Credit Card,27793.48
972,972,Credit Card,1149.16
973,973,Credit Card,10660.03
974,974,Credit Card,39563.97
975,975,UPI,9782.19
976,976,Debit Card,2382.16
